puhoc ,prefLabel ,ysoLinkLab ,ysoBroaderLab 
http://www.yso.fi/onto/puho/ph267 ,dynamiikka ,mekaniikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph272 ,järjestäytynyt rikollisuus ,rikollisuus ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph291 ,henkilöstöhallinto ,hallinto ,järjestelmät 
http://www.yso.fi/onto/puho/ph291 ,henkilöstöhallinto ,hallinto ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph3 ,perusoikeudet ,oikeudet (edut) ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph3 ,perusoikeudet ,oikeudet (edut) ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph31 ,palveluskelpoisuus ,kelpoisuus ,yhteiskunnalliset ominaisuudet 
http://www.yso.fi/onto/puho/ph325 ,aselepo ,yhteiskunnalliset ajanjaksot ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph326 ,rauha ,yhteiskunnalliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph349 ,sotarikokset ,rikokset ,oikeudelliset tapahtumat 
http://www.yso.fi/onto/puho/ph349 ,sotarikokset ,rikokset ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph350 ,kansanmurha ,murha ,oikeudelliset tapahtumat 
http://www.yso.fi/onto/puho/ph350 ,kansanmurha ,murha ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph355 ,mittaustekniikka ,tekniikka (tieteet) ,järjestelmät 
http://www.yso.fi/onto/puho/ph355 ,mittaustekniikka ,tekniikka (tieteet) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph365 ,sähkömagneettinen säteily ,säteily ,fysikaaliset tapahtumat 
http://www.yso.fi/onto/puho/ph365 ,sähkömagneettinen säteily ,säteily ,tapahtumat 
http://www.yso.fi/onto/puho/ph365 ,sähkömagneettinen säteily ,säteily ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph369 ,sotilaspsykologia ,psykologia ,järjestelmät 
http://www.yso.fi/onto/puho/ph369 ,sotilaspsykologia ,psykologia ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph370 ,infrapunasäteily ,sähkömagneettinen säteily ,fysikaaliset tapahtumat 
http://www.yso.fi/onto/puho/ph370 ,infrapunasäteily ,sähkömagneettinen säteily ,tapahtumat 
http://www.yso.fi/onto/puho/ph370 ,infrapunasäteily ,sähkömagneettinen säteily ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph38 ,radiotekniikka ,tietoliikennetekniikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph38 ,radiotekniikka ,tietoliikennetekniikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph385 ,ilmansuodattimet ,suodattimet ,tekniset objektit (fyysiset objektit) 
http://www.yso.fi/onto/puho/ph39 ,tietoliikennetekniikka ,viestintätekniikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph39 ,tietoliikennetekniikka ,viestintätekniikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph399 ,turbulenssi ,fysikaaliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph410 ,fysiikka ,luonnontieteet ,järjestelmät 
http://www.yso.fi/onto/puho/ph410 ,fysiikka ,luonnontieteet ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph411 ,aerodynamiikka ,aeromekaniikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph411 ,aerodynamiikka ,dynamiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph411 ,aerodynamiikka ,aeromekaniikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph411 ,aerodynamiikka ,dynamiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph412 ,mekaniikka ,fysiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph412 ,mekaniikka ,fysiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph416 ,sade ,sääilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph427 ,virologia ,mikrobiologia ,järjestelmät 
http://www.yso.fi/onto/puho/ph427 ,virologia ,mikrobiologia ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph429 ,virtuaalitodellisuus ,todellisuus ,järjestelmät 
http://www.yso.fi/onto/puho/ph433 ,rintamakarkuruus ,sotilaskarkuruus ,oikeudelliset tapahtumat 
http://www.yso.fi/onto/puho/ph433 ,rintamakarkuruus ,sotilaskarkuruus ,rikokset 
http://www.yso.fi/onto/puho/ph433 ,rintamakarkuruus ,sotilaskarkuruus ,tapahtumat 
http://www.yso.fi/onto/puho/ph433 ,rintamakarkuruus ,sotilaskarkuruus ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph433 ,rintamakarkuruus ,sotilaskarkuruus ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph434 ,sotilasrikokset ,rikokset ,oikeudelliset tapahtumat 
http://www.yso.fi/onto/puho/ph434 ,sotilasrikokset ,rikokset ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph435 ,sotilaskarkuruus ,yhteiskunnalliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph437 ,työturvallisuus ,turvallisuus ,mentaaliset ominaisuudet 
http://www.yso.fi/onto/puho/ph437 ,työturvallisuus ,turvallisuus ,yhteiskunnalliset ominaisuudet 
http://www.yso.fi/onto/puho/ph445 ,tietotekniikka ,tieto- ja viestintätekniikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph445 ,tietotekniikka ,tieto- ja viestintätekniikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph45 ,heraldiikka ,tieteet (erikoisalat) ,järjestelmät 
http://www.yso.fi/onto/puho/ph45 ,heraldiikka ,tieteet (erikoisalat) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph454 ,aseidenriisunta ,omistuksen siirtäminen ,keskinäinen toiminta 
http://www.yso.fi/onto/puho/ph457 ,asevarustelu ,omistuksen siirtäminen ,keskinäinen toiminta 
http://www.yso.fi/onto/puho/ph468 ,mellakantorjunta ,yleinen järjestys ,olosuhteet 
http://www.yso.fi/onto/puho/ph468 ,mellakantorjunta ,yleinen järjestys ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph472 ,terrorismi ,yhteiskunnalliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph474 ,kansainvälinen rikollisuus ,rikollisuus ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph475 ,pakolaisongelma ,ongelmat ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph480 ,julkiset hankinnat ,hankinta ,keskinäinen toiminta 
http://www.yso.fi/onto/puho/ph482 ,kartografia ,tieteet (erikoisalat) ,järjestelmät 
http://www.yso.fi/onto/puho/ph482 ,kartografia ,tieteet (erikoisalat) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph511 ,liikenneturvallisuus ,turvallisuus ,mentaaliset ominaisuudet 
http://www.yso.fi/onto/puho/ph511 ,liikenneturvallisuus ,turvallisuus ,yhteiskunnalliset ominaisuudet 
http://www.yso.fi/onto/puho/ph513 ,liikkumisvapaus ,perusoikeudet ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph513 ,liikkumisvapaus ,perusoikeudet ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph52 ,lentoturvallisuus ,liikenneturvallisuus ,mentaaliset ominaisuudet 
http://www.yso.fi/onto/puho/ph52 ,lentoturvallisuus ,liikenneturvallisuus ,yhteiskunnalliset ominaisuudet 
http://www.yso.fi/onto/puho/ph546 ,mikroaallot ,sähkömagneettinen säteily ,fysikaaliset tapahtumat 
http://www.yso.fi/onto/puho/ph546 ,mikroaallot ,sähkömagneettinen säteily ,tapahtumat 
http://www.yso.fi/onto/puho/ph546 ,mikroaallot ,sähkömagneettinen säteily ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph559 ,henkilöstösuunnittelu ,henkilöstöhallinto ,järjestelmät 
http://www.yso.fi/onto/puho/ph559 ,henkilöstösuunnittelu ,henkilöstöhallinto ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph560 ,palkkaus ,yhteiskunnalliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph564 ,tietohallinto ,hallinto ,järjestelmät 
http://www.yso.fi/onto/puho/ph564 ,tietohallinto ,hallinto ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph573 ,sotaoikeus ,oikeus (oikeudenala) ,järjestelmät 
http://www.yso.fi/onto/puho/ph573 ,sotaoikeus ,oikeus (oikeudenala) ,yhteiskunnalliset järjestelmät 
